2026/3/8	管理画面の勤怠詳細モーダルに取り消しボタンを追加	新機能
2026/3/8	取り消しボタンのTrash2アイコンimport漏れによるクラッシュを修正	バグ修正
2026/3/8	乖離理由入力の選択肢の順番を変更（欠勤→遅刻→早退→残業→打刻忘れ→出張→その他）	機能改善
2026/3/8	遅刻の「私用」オプションを削除	機能改善
2026/3/8	打刻忘れ選択時に実際の出社/退勤時間を5分単位で入力するUIを追加	新機能
2026/3/8	管理者画面にも打刻忘れ時の実際の時間入力情報を表示	機能改善
2026/3/8	乖離理由選択時の画面ちらつき（背景チカチカ）バグを修正	バグ修正
2026/3/8	バイト時間の計算で打刻忘れ(clockOut未記録)の承認済みレコードが除外されていたバグを修正	バグ修正
2026/3/8	ステータス表示の優先順位を修正（承認待ち＞異常）	バグ修正
2026/3/8	遅刻ペナルティ(-30分)ロジックを全5ファイルから完全削除（約20箇所）	バグ修正
2026/3/8	2回ログインしないと入れない問題を修正（lastActivity初期化タイミング）	バグ修正
